# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
1.46,1.359,,,,320.23,0.02,3.16,3.18,0.08,287.33,998.50,"1,939.24",143.46,120.03,1.43,1.20,0.40,178.65,127.01,"5,383.41",0.05,,0.346,67.137
1.501,1.356,,,,287.19,0.02,3.85,3.88,0.10,287.28,997.63,"1,830.07",143.39,119.95,1.43,1.20,0.40,183.83,126.10,"5,366.53",0.06,,0.407,67.137
1.546,1.353,,,,299.04,0.02,1.57,1.59,0.04,287.23,996.62,"1,876.84",143.91,119.87,1.44,1.20,0.39,189.58,125.23,"5,347.64",0.02,,0.158,67.137
1.615,1.349,,,,308.72,0.02,2.47,2.50,0.06,287.14,995.06,"1,885.25",143.85,119.74,1.44,1.20,0.39,198.14,123.95,"5,319.32",0.04,,0.232,67.137
1.672,1.346,,,,311.17,0.02,3.90,3.92,0.10,287.07,993.72,"1,888.96",143.70,119.63,1.44,1.20,0.39,205.11,122.68,"5,295.99",0.06,,0.352,67.137
1.711,1.343,,,,318.24,0.02,3.26,3.28,0.08,287.02,992.77,"1,902.27",143.88,119.56,1.44,1.20,0.39,209.83,121.49,"5,280.40",0.04,,0.282,67.137
1.76,1.34,,,,309.24,0.02,0.32,0.34,0.01,286.95,991.55,"1,900.20",144.44,119.47,1.44,1.19,0.38,215.72,119.92,"5,260.73",0.00,,0.027,67.137
1.833,1.336,,,,324.02,0.02,2.89,2.91,0.07,286.84,989.66,"1,900.37",144.17,119.33,1.44,1.19,0.38,224.39,117.61,"5,231.23",0.04,,0.224,67.137
1.872,1.334,,,,326.32,0.02,3.63,3.66,0.09,286.79,988.63,"1,898.70",144.14,119.26,1.44,1.19,0.38,228.88,115.83,"5,215.68",0.04,,0.273,67.137
1.912,1.331,,,,324.44,0.02,1.61,1.63,0.04,286.73,987.53,"1,899.74",144.50,119.18,1.44,1.19,0.38,233.55,114.79,"5,199.03",0.02,,0.117,67.137
1.973,1.327,,,,336.21,0.02,2.33,2.35,0.06,286.63,985.84,"1,902.71",144.52,119.05,1.45,1.19,0.38,240.72,117.32,"5,173.47",0.03,,0.158,67.137
2.026,1.324,,,,334.87,0.02,3.37,3.39,0.08,286.55,984.34,"1,904.85",144.49,118.95,1.44,1.19,0.37,247.09,121.04,"5,151.49",0.04,,0.223,67.137
2.063,1.322,,,,345.06,0.02,2.11,2.13,0.05,286.49,983.26,"1,909.50",144.74,118.87,1.45,1.19,0.37,251.67,123.99,"5,136.06",0.02,,0.132,67.137
2.118,1.318,,,,352.89,0.03,1.90,1.92,0.04,286.40,981.61,"1,912.76",144.89,118.76,1.45,1.19,0.37,258.68,126.64,"5,112.89",0.02,,0.112,67.137
2.179,1.314,,,,346.12,0.03,2.10,2.13,0.05,286.29,979.72,"1,916.64",145.00,118.62,1.45,1.19,0.37,266.63,128.40,"5,085.03",0.02,,0.122,67.137
2.221,1.311,,,,353.98,0.03,0.93,0.95,0.02,286.22,978.41,"1,920.68",145.23,118.52,1.45,1.19,0.36,271.99,128.89,"5,066.27",0.01,,0.051,67.137
2.283,1.307,,,,358.80,0.03,2.64,2.67,0.06,286.11,976.40,"1,901.50",145.21,118.38,1.45,1.18,0.36,280.05,128.76,"5,038.14",0.02,,0.136,67.137
2.322,1.304,,,,365.00,0.03,2.97,3.00,0.07,286.04,975.12,"1,930.40",145.27,118.29,1.45,1.18,0.36,285.06,129.14,"5,020.68",0.02,,0.151,67.137
2.361,1.301,,,,358.70,0.03,0.08,0.11,0.00,285.96,973.78,"1,909.31",145.65,118.20,1.46,1.18,0.36,290.20,128.63,"5,002.79",0.00,,0.004,67.137
2.421,1.297,,,,374.17,0.03,2.16,2.18,0.05,285.85,971.72,"1,930.60",145.61,118.06,1.46,1.18,0.35,297.71,124.66,"4,976.10",0.02,,0.1,67.137
2.456,1.295,,,,361.07,0.03,2.21,2.24,0.05,285.78,970.48,"1,891.77",145.69,117.98,1.46,1.18,0.35,302.01,121.17,"4,960.29",0.02,,0.1,67.137
2.51,1.291,,,,363.69,0.03,1.59,1.62,0.04,285.67,968.58,"1,893.11",145.88,117.85,1.46,1.18,0.35,308.28,117.46,"4,936.57",0.01,,0.069,67.137
2.569,1.287,,,,343.39,0.03,0.45,0.48,0.01,285.55,966.40,"1,932.11",146.11,117.71,1.46,1.18,0.35,315.09,113.28,"4,910.11",0.00,,0.021,67.137
2.625,1.283,,,,375.60,0.03,1.41,1.44,0.03,285.44,964.32,"1,917.46",146.17,117.59,1.46,1.18,0.35,321.16,108.00,"4,887.20",0.01,,0.057,67.137
2.7,1.278,,,,375.28,0.03,3.41,3.44,0.08,285.28,961.45,"1,904.84",146.21,117.42,1.46,1.17,0.34,328.81,100.65,"4,856.31",0.02,,0.132,67.137
