# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
6.171,1.2,,,,362.14,0.02,1.24,1.25,0.03,277.56,832.46,"1,951.57",145.34,114.59,1.45,1.15,0.18,274.05,44.16,"4,388.58",0.01,,0.052,67.137
6.271,1.2,,,,384.12,0.02,1.66,1.68,0.04,277.38,829.71,"1,951.57",145.24,114.59,1.45,1.15,0.17,269.70,42.75,"4,388.58",0.01,,0.067,67.137
6.371,1.2,,,,349.79,0.02,0.89,0.91,0.02,277.21,827.01,"1,951.57",145.22,114.59,1.45,1.15,0.17,265.50,41.45,"4,388.58",0.01,,0.04,67.137
6.471,1.2,,,,316.82,0.02,0.44,0.45,0.01,277.04,824.34,"1,951.57",145.18,114.59,1.45,1.15,0.17,261.41,40.22,"4,388.58",0.00,,0.022,67.137
6.571,1.2,,,,385.63,0.02,0.29,0.30,0.01,276.87,821.72,"1,951.57",145.14,114.59,1.45,1.15,0.17,257.45,39.07,"4,388.58",0.00,,0.012,67.137
6.671,1.2,,,,255.95,0.02,0.14,0.16,0.00,276.70,819.14,"1,951.57",145.08,114.59,1.45,1.15,0.16,253.60,37.98,"4,388.58",0.00,,0.009,67.137
6.771,1.2,,,,271.43,0.02,0.03,0.05,0.00,276.54,816.59,"1,951.57",145.04,114.59,1.45,1.15,0.16,249.85,36.96,"4,388.58",0.00,,0.002,67.137
6.871,1.2,,,,380.33,0.01,0.41,0.42,0.01,276.38,814.08,"1,951.57",144.95,114.59,1.45,1.15,0.16,246.20,35.99,"4,388.58",0.00,,0.018,67.137
6.971,1.2,,,,313.20,0.01,0.53,0.55,0.01,276.22,811.61,"1,951.57",144.87,114.59,1.45,1.15,0.16,242.65,35.07,"4,388.58",0.00,,0.029,67.137
7.071,1.2,,,,369.39,0.01,1.17,1.18,0.03,276.06,809.17,"1,951.57",144.77,114.59,1.45,1.15,0.16,239.19,34.19,"4,388.58",0.01,,0.055,67.137
7.171,1.2,,,,363.19,0.01,0.64,0.65,0.02,275.91,806.77,"1,951.57",144.76,114.59,1.45,1.15,0.15,235.81,33.36,"4,388.58",0.01,,0.031,67.137
7.271,1.2,,,,249.55,0.01,0.13,0.14,0.00,275.76,804.41,"1,951.57",144.76,114.59,1.45,1.15,0.15,232.52,32.57,"4,388.58",0.00,,0.009,67.137
7.371,1.2,,,,372.24,0.01,0.74,0.76,0.02,275.61,802.07,"1,951.57",144.66,114.59,1.45,1.15,0.15,229.30,31.82,"4,388.58",0.01,,0.036,67.137
7.471,1.2,,,,325.49,0.01,0.73,0.74,0.02,275.46,799.77,"1,951.57",144.61,114.59,1.45,1.15,0.15,226.15,31.09,"4,388.58",0.01,,0.041,67.137
7.571,1.2,,,,340.52,0.01,0.11,0.12,0.00,275.31,797.50,"1,951.57",144.63,114.59,1.45,1.15,0.14,223.08,30.41,"4,388.58",0.00,,0.006,67.137
7.671,1.2,,,,360.29,0.01,0.94,0.95,0.02,275.17,795.26,"1,951.57",144.51,114.59,1.45,1.15,0.14,220.07,29.75,"4,388.58",0.01,,0.049,67.137
7.771,1.2,,,,326.99,0.01,0.07,0.08,0.00,275.03,793.14,"1,951.57",144.56,114.59,1.45,1.15,0.14,217.13,29.12,"4,388.58",0.00,,0.004,67.137
7.871,1.2,,,,313.56,0.01,0.46,0.47,0.01,274.89,791.06,"1,951.57",144.48,114.59,1.44,1.15,0.14,214.25,28.51,"4,388.58",0.00,,0.028,67.137
7.971,1.2,,,,336.90,0.01,0.23,0.24,0.01,274.75,789.02,"1,951.57",144.47,114.59,1.44,1.15,0.13,211.42,27.94,"4,388.58",0.00,,0.013,67.137
8.071,1.2,,,,337.39,0.01,0.01,0.02,0.00,274.61,787.00,"1,951.57",144.46,114.59,1.44,1.15,0.13,208.66,27.38,"4,388.58",0.00,,6.94E-04,67.137
8.171,1.2,,,,310.58,0.01,0.44,0.45,0.01,274.48,785.01,"1,951.57",144.38,114.59,1.44,1.15,0.13,205.95,26.85,"4,388.58",0.00,,0.028,67.137
8.271,1.2,,,,318.60,0.01,0.54,0.55,0.01,274.35,783.04,"1,951.57",144.33,114.59,1.44,1.15,0.13,203.29,26.34,"4,388.58",0.01,,0.034,67.137
8.371,1.2,,,,432.69,0.01,0.21,0.22,0.00,274.21,781.10,"1,951.57",144.35,114.59,1.44,1.15,0.13,200.68,25.85,"4,388.58",0.00,,0.01,67.137
8.471,1.2,,,,347.44,0.01,0.52,0.53,0.01,274.09,779.18,"1,951.57",144.28,114.59,1.44,1.15,0.12,198.12,25.37,"4,388.58",0.01,,0.031,67.137
8.571,1.2,,,,268.91,0.01,0.10,0.11,0.00,273.96,777.28,"1,951.57",144.30,114.59,1.44,1.15,0.12,195.60,24.92,"4,388.58",0.00,,0.008,67.137
8.671,1.2,,,,356.74,0.01,0.71,0.72,0.02,273.83,775.42,"1,951.57",144.21,114.59,1.44,1.15,0.12,193.13,24.48,"4,388.58",0.01,,0.042,67.137
8.771,1.2,,,,335.16,0.01,0.03,0.04,0.00,273.71,773.57,"1,951.57",144.26,114.59,1.44,1.15,0.12,190.71,24.05,"4,388.58",0.00,,0.002,67.137
8.871,1.2,,,,316.97,0.01,0.69,0.70,0.02,273.58,771.75,"1,951.57",144.15,114.59,1.44,1.15,0.11,188.32,23.64,"4,388.58",0.01,,0.047,67.137
8.971,1.2,,,,354.18,0.01,0.06,0.07,0.00,273.46,769.95,"1,951.57",144.21,114.59,1.44,1.15,0.11,185.98,23.25,"4,388.58",0.00,,0.004,67.137
9.071,1.2,,,,303.10,0.01,0.19,0.20,0.01,273.34,768.17,"1,951.57",144.17,114.59,1.44,1.15,0.11,183.67,22.87,"4,388.58",0.00,,0.014,67.137
9.171,1.2,,,,325.07,0.01,0.57,0.57,0.01,273.22,766.42,"1,951.57",144.10,114.59,1.44,1.15,0.11,181.40,22.50,"4,388.58",0.01,,0.039,67.137
9.271,1.2,,,,351.08,0.01,0.09,0.10,0.00,273.11,764.68,"1,951.57",144.15,114.59,1.44,1.15,0.10,179.17,22.15,"4,388.58",0.00,,0.006,67.137
9.371,1.2,,,,325.85,0.01,0.82,0.83,0.02,272.99,762.97,"1,951.57",144.03,114.59,1.44,1.15,0.10,176.98,21.81,"4,388.58",0.01,,0.058,67.137
9.471,1.2,,,,345.82,0.01,0.07,0.08,0.00,272.88,761.28,"1,951.57",144.12,114.59,1.44,1.15,0.10,174.81,21.47,"4,388.58",0.00,,0.005,67.137
9.571,1.2,,,,324.33,0.01,0.80,0.81,0.02,272.76,759.61,"1,951.57",144.00,114.59,1.44,1.15,0.10,172.68,21.14,"4,388.58",0.01,,0.058,67.137
9.671,1.2,,,,306.61,0.01,0.04,0.05,0.00,272.65,757.96,"1,951.57",144.09,114.59,1.44,1.15,0.10,170.58,20.84,"4,388.58",0.00,,0.003,67.137
9.771,1.2,,,,297.56,0.01,0.52,0.53,0.01,272.54,756.33,"1,951.57",144.00,114.59,1.44,1.15,0.09,168.51,20.54,"4,388.58",0.01,,0.042,67.137
9.871,1.2,,,,297.31,0.01,0.26,0.27,0.01,272.43,754.72,"1,951.57",144.03,114.59,1.44,1.15,0.09,166.48,20.24,"4,388.58",0.00,,0.021,67.137
9.971,1.2,,,,283.17,0.01,0.25,0.26,0.01,272.33,753.13,"1,951.57",144.01,114.59,1.44,1.15,0.09,164.47,19.96,"4,388.58",0.00,,0.022,67.137
10.071,1.2,,,,336.88,0.01,0.59,0.59,0.01,272.22,751.56,"1,951.57",143.96,114.59,1.44,1.15,0.09,162.48,19.68,"4,388.58",0.01,,0.043,67.137
10.171,1.2,,,,275.86,0.01,0.17,0.17,0.00,272.12,750.00,"1,951.57",144.00,114.59,1.44,1.15,0.08,160.53,19.42,"4,388.58",0.00,,0.015,67.137
10.271,1.2,,,,377.76,0.01,0.01,0.02,0.00,272.01,748.47,"1,951.57",144.02,114.59,1.44,1.15,0.08,158.60,19.16,"4,388.58",0.00,,0.001,67.137
10.371,1.2,,,,308.96,0.01,0.24,0.25,0.01,271.91,746.95,"1,951.57",143.97,114.59,1.44,1.15,0.08,156.70,18.91,"4,388.58",0.00,,0.02,67.137
10.471,1.2,,,,315.62,0.01,0.63,0.64,0.02,271.81,745.52,"1,951.57",143.90,114.59,1.44,1.15,0.08,154.82,18.67,"4,388.58",0.01,,0.052,67.137
10.571,1.2,,,,320.37,0.01,0.39,0.40,0.01,271.71,744.12,"1,951.57",143.93,114.59,1.44,1.15,0.07,152.97,18.43,"4,388.58",0.01,,0.032,67.137
10.671,1.2,,,,311.89,0.01,1.15,1.16,0.03,271.61,742.73,"1,951.57",143.79,114.59,1.44,1.15,0.07,151.14,18.20,"4,388.58",0.02,,0.098,67.137
10.771,1.2,,,,310.58,0.01,0.53,0.54,0.01,271.51,741.35,"1,951.57",143.88,114.59,1.44,1.15,0.07,149.33,17.98,"4,388.58",0.01,,0.046,67.137
10.871,1.2,,,,307.37,0.01,0.60,0.61,0.02,271.42,740.00,"1,951.57",143.85,114.59,1.44,1.15,0.07,147.54,17.77,"4,388.58",0.01,,0.053,67.137
10.971,1.2,,,,311.66,0.01,1.18,1.19,0.03,271.32,738.66,"1,951.57",143.75,114.59,1.44,1.15,0.07,145.77,17.56,"4,388.58",0.02,,0.104,67.137
11.071,1.2,,,,316.81,0.01,0.73,0.74,0.02,271.23,737.33,"1,951.57",143.81,114.59,1.44,1.15,0.06,144.03,17.35,"4,388.58",0.01,,0.064,67.137
11.171,1.2,,,,309.04,0.01,1.22,1.23,0.03,271.13,736.03,"1,951.57",143.72,114.59,1.44,1.15,0.06,142.30,17.15,"4,388.58",0.02,,0.111,67.137
11.271,1.2,,,,330.21,0.01,0.57,0.58,0.01,271.04,734.73,"1,951.57",143.82,114.59,1.44,1.15,0.06,140.60,16.95,"4,388.58",0.01,,0.049,67.137
11.371,1.2,,,,311.37,0.00,0.14,0.15,0.00,270.95,733.46,"1,951.57",143.89,114.59,1.44,1.15,0.06,138.91,16.77,"4,388.58",0.00,,0.013,67.137
11.471,1.2,,,,299.06,0.00,0.28,0.29,0.01,270.86,732.20,"1,951.57",143.85,114.59,1.44,1.15,0.05,137.25,16.59,"4,388.58",0.00,,0.027,67.137
11.571,1.2,,,,306.95,0.00,1.16,1.17,0.03,270.77,730.95,"1,951.57",143.68,114.59,1.44,1.15,0.05,135.60,16.42,"4,388.58",0.02,,0.111,67.137
11.671,1.2,,,,308.50,0.00,0.81,0.82,0.02,270.68,729.72,"1,951.57",143.74,114.59,1.44,1.15,0.05,133.97,16.24,"4,388.58",0.01,,0.078,67.137
11.771,1.2,,,,297.67,0.00,0.74,0.74,0.02,270.60,728.50,"1,951.57",143.74,114.59,1.44,1.15,0.05,132.35,16.06,"4,388.58",0.01,,0.074,67.137
11.871,1.2,,,,307.33,0.00,2.02,2.02,0.05,270.51,727.30,"1,951.57",143.49,114.59,1.43,1.15,0.04,130.75,15.89,"4,388.58",0.03,,0.2,67.137
11.971,1.2,,,,306.97,0.00,1.36,1.37,0.04,270.43,726.11,"1,951.57",143.60,114.59,1.44,1.15,0.04,129.17,15.73,"4,388.58",0.02,,0.136,67.137
12.071,1.2,,,,307.06,0.00,0.52,0.52,0.01,270.35,724.94,"1,951.57",143.75,114.59,1.44,1.15,0.04,127.61,15.59,"4,388.58",0.01,,0.052,67.137
12.171,1.2,,,,303.59,0.00,2.49,2.49,0.07,270.26,723.78,"1,951.57",143.35,114.59,1.43,1.15,0.04,126.06,15.46,"4,388.58",0.04,,0.259,67.137
12.271,1.2,,,,298.58,0.00,1.19,1.19,0.03,270.18,722.64,"1,951.57",143.60,114.59,1.44,1.15,0.04,124.52,15.29,"4,388.58",0.02,,0.126,67.137
12.371,1.2,,,,308.90,0.00,1.42,1.42,0.04,270.10,721.50,"1,951.57",143.55,114.59,1.44,1.15,0.03,123.00,15.13,"4,388.58",0.02,,0.147,67.137
12.471,1.2,,,,298.42,0.00,1.99,1.99,0.05,270.02,720.39,"1,951.57",143.41,114.59,1.43,1.15,0.03,121.50,14.99,"4,388.58",0.03,,0.217,67.137
12.571,1.2,,,,309.63,0.00,0.79,0.79,0.02,269.94,719.29,"1,951.57",143.66,114.59,1.44,1.15,0.03,120.00,14.86,"4,388.58",0.01,,0.083,67.137
12.671,1.2,,,,298.33,0.00,0.78,0.78,0.02,269.87,718.20,"1,951.57",143.65,114.59,1.44,1.15,0.03,118.52,14.73,"4,388.58",0.01,,0.086,67.137
12.771,1.2,,,,298.38,0.00,2.02,2.03,0.05,269.79,717.12,"1,951.57",143.37,114.59,1.43,1.15,0.02,117.06,14.62,"4,388.58",0.04,,0.229,67.137
12.871,1.2,,,,298.87,0.00,1.83,1.83,0.05,269.71,716.06,"1,951.57",143.40,114.59,1.43,1.15,0.02,115.61,14.48,"4,388.58",0.03,,0.209,67.137
12.971,1.2,,,,281.95,0.00,0.17,0.18,0.00,269.64,715.01,"1,951.57",143.75,114.59,1.44,1.15,0.02,114.17,14.34,"4,388.58",0.00,,0.021,67.137
13.071,1.2,,,,298.77,0.00,2.69,2.70,0.07,269.57,713.97,"1,951.57",143.18,114.59,1.43,1.15,0.02,112.74,14.21,"4,388.58",0.05,,0.317,67.137
13.171,1.2,,,,299.69,0.00,2.40,2.40,0.06,269.49,712.95,"1,951.57",143.24,114.59,1.43,1.15,0.01,111.32,14.09,"4,388.58",0.04,,0.284,67.137
13.271,1.2,,,,327.32,0.00,0.01,0.01,0.00,269.42,711.94,"1,951.57",143.78,114.59,1.44,1.15,0.01,109.92,13.99,"4,388.58",0.00,,0.001,67.137
13.371,1.2,,,,294.71,0.00,2.59,2.59,0.07,269.35,710.94,"1,951.57",143.16,114.59,1.43,1.15,0.01,108.53,13.90,"4,388.58",0.05,,0.32,67.137
13.471,1.2,,,,294.52,0.00,2.46,2.46,0.07,269.28,709.96,"1,951.57",143.18,114.59,1.43,1.15,0.01,107.15,13.79,"4,388.58",0.05,,0.307,67.137
13.571,1.2,,,,271.66,0.00,0.27,0.27,0.01,269.21,708.98,"1,951.57",143.69,114.59,1.44,1.15,0.01,105.78,13.66,"4,388.58",0.01,,0.036,67.137
13.671,1.2,,,,298.93,0.00,1.55,1.55,0.04,269.14,708.02,"1,951.57",143.38,114.59,1.43,1.15,0.00,104.42,13.54,"4,388.58",0.03,,0.194,67.137
13.771,1.2,,,,296.73,0.00,1.87,1.87,0.05,269.08,707.08,"1,951.57",143.29,114.59,1.43,1.15,0.00,103.07,13.44,"4,388.58",0.04,,0.24,67.137
13.871,1.2,,,,300.08,0.00,1.26,1.26,0.03,269.01,706.14,"1,951.57",143.44,114.59,1.43,1.15,0.00,101.73,13.34,"4,388.58",0.03,,0.161,67.137
13.971,1.2,,,,270.30,0.00,0.25,0.25,0.01,268.94,705.22,"1,951.57",143.67,114.59,1.44,1.15,0.00,100.40,13.25,"4,388.58",0.01,,0.036,67.137
14.071,1.2,,,,291.66,0.00,1.04,1.03,0.03,268.88,704.31,"1,951.57",143.47,114.59,1.43,1.15,-0.01,99.08,13.16,"4,388.58",0.02,,0.139,67.137
14.171,1.2,,,,292.52,0.00,1.16,1.16,0.03,268.82,703.41,"1,951.57",143.43,114.59,1.43,1.15,-0.01,97.77,13.07,"4,388.58",0.02,,0.158,67.137
14.271,1.2,,,,300.26,0.00,0.91,0.91,0.02,268.75,702.52,"1,951.57",143.49,114.59,1.43,1.15,-0.01,96.47,12.97,"4,388.58",0.02,,0.122,67.137
14.371,1.2,,,,314.06,0.00,0.29,0.29,0.01,268.69,701.65,"1,951.57",143.65,114.59,1.44,1.15,-0.01,95.18,12.88,"4,388.58",0.01,,0.037,67.137
14.471,1.2,,,,284.50,0.00,0.80,0.79,0.02,268.63,700.80,"1,951.57",143.50,114.59,1.43,1.15,-0.02,93.90,12.78,"4,388.58",0.02,,0.115,67.137
14.571,1.2,,,,291.86,0.00,1.41,1.41,0.04,268.57,699.99,"1,951.57",143.32,114.59,1.43,1.15,-0.02,92.63,12.69,"4,388.58",0.03,,0.203,67.137
14.671,1.2,,,,293.21,0.00,1.31,1.31,0.03,268.51,699.19,"1,951.57",143.34,114.59,1.43,1.15,-0.02,91.36,12.61,"4,388.58",0.03,,0.189,67.137
14.771,1.2,,,,291.61,0.00,0.45,0.45,0.01,268.45,698.41,"1,951.57",143.58,114.59,1.44,1.15,-0.02,90.10,12.54,"4,388.58",0.01,,0.066,67.137
14.871,1.2,,,,283.35,0.00,0.22,0.22,0.01,268.39,697.63,"1,951.57",143.63,114.59,1.44,1.15,-0.02,88.86,12.46,"4,388.58",0.01,,0.034,67.137
14.971,1.2,,,,288.24,0.00,1.79,1.79,0.05,268.33,696.86,"1,951.57",143.17,114.59,1.43,1.15,-0.03,87.61,12.40,"4,388.58",0.04,,0.276,67.137
15.071,1.2,,,,288.91,0.00,2.37,2.37,0.06,268.28,696.11,"1,951.57",142.99,114.59,1.43,1.15,-0.03,86.38,12.33,"4,388.58",0.06,,0.371,67.137
15.171,1.2,,,,287.24,0.00,1.38,1.38,0.04,268.22,695.37,"1,951.57",143.27,114.59,1.43,1.15,-0.03,85.16,12.24,"4,388.58",0.03,,0.218,67.137
15.271,1.2,,,,294.76,0.00,1.00,0.99,0.03,268.17,694.63,"1,951.57",143.39,114.59,1.43,1.15,-0.03,83.94,12.15,"4,388.58",0.02,,0.155,67.137
15.371,1.2,,,,291.46,0.00,1.81,1.81,0.05,268.11,693.91,"1,951.57",143.12,114.59,1.43,1.15,-0.04,82.73,12.08,"4,388.58",0.05,,0.291,67.137
15.471,1.2,,,,289.87,0.00,2.31,2.31,0.06,268.06,693.20,"1,951.57",142.95,114.59,1.43,1.15,-0.04,81.52,12.00,"4,388.58",0.06,,0.381,67.137
15.571,1.2,,,,286.51,0.00,2.27,2.27,0.06,268.01,692.50,"1,951.57",142.94,114.59,1.43,1.15,-0.04,80.33,11.94,"4,388.58",0.06,,0.385,67.137
15.671,1.2,,,,286.45,0.00,1.09,1.09,0.03,267.96,691.81,"1,951.57",143.31,114.59,1.43,1.15,-0.04,79.14,11.88,"4,388.58",0.03,,0.185,67.137
15.771,1.2,,,,298.18,0.00,0.51,0.50,0.01,267.91,691.13,"1,951.57",143.51,114.59,1.44,1.15,-0.05,77.95,11.82,"4,388.58",0.01,,0.083,67.137
15.871,1.2,,,,289.17,0.00,1.89,1.89,0.05,267.86,690.45,"1,951.57",143.03,114.59,1.43,1.15,-0.05,76.78,11.77,"4,388.58",0.05,,0.33,67.137
15.971,1.2,,,,284.86,0.00,3.18,3.17,0.09,267.81,689.79,"1,951.57",142.57,114.59,1.43,1.15,-0.05,75.60,11.73,"4,388.58",0.09,,0.581,67.137
16.071,1.2,,,,286.66,0.00,2.80,2.80,0.08,267.76,689.14,"1,951.57",142.68,114.59,1.43,1.15,-0.05,74.44,11.66,"4,388.58",0.08,,0.515,67.137
16.171,1.2,,,,285.97,0.00,1.11,1.11,0.03,267.71,688.50,"1,951.57",143.26,114.59,1.43,1.15,-0.05,73.28,11.58,"4,388.58",0.03,,0.204,67.137
16.271,1.2,,,,285.63,0.00,0.89,0.88,0.02,267.66,687.87,"1,951.57",143.33,114.59,1.43,1.15,-0.06,72.13,11.51,"4,388.58",0.03,,0.165,67.137
16.371,1.2,,,,285.00,0.00,2.86,2.85,0.08,267.62,687.25,"1,951.57",142.60,114.59,1.43,1.15,-0.06,70.98,11.44,"4,388.58",0.09,,0.554,67.137
16.471,1.2,,,,283.46,0.00,3.55,3.55,0.10,267.57,686.64,"1,951.57",142.31,114.59,1.42,1.15,-0.06,69.84,11.38,"4,388.58",0.11,,0.711,67.137
16.571,1.2,,,,285.82,0.00,3.24,3.23,0.09,267.53,686.04,"1,951.57",142.42,114.59,1.42,1.15,-0.06,68.71,11.33,"4,388.58",0.10,,0.65,67.137
16.671,1.2,,,,286.65,-0.01,1.78,1.78,0.05,267.48,685.45,"1,951.57",142.96,114.59,1.43,1.15,-0.07,67.58,11.29,"4,388.58",0.06,,0.356,67.137
16.771,1.2,,,,290.84,-0.01,0.63,0.62,0.02,267.44,684.87,"1,951.57",143.40,114.59,1.43,1.15,-0.07,66.45,11.25,"4,388.58",0.02,,0.123,67.137
16.871,1.2,,,,285.09,-0.01,2.40,2.39,0.06,267.40,684.30,"1,951.57",142.68,114.59,1.43,1.15,-0.07,65.33,11.22,"4,388.58",0.08,,0.502,67.137
16.971,1.2,,,,283.29,-0.01,2.91,2.91,0.08,267.35,683.74,"1,951.57",142.45,114.59,1.42,1.15,-0.07,64.21,11.18,"4,388.58",0.10,,0.629,67.137
17.071,1.2,,,,283.88,-0.01,3.26,3.26,0.09,267.31,683.19,"1,951.57",142.28,114.59,1.42,1.15,-0.08,63.10,11.14,"4,388.58",0.11,,0.719,67.137
17.171,1.2,,,,282.15,-0.01,2.73,2.73,0.07,267.27,682.65,"1,951.57",142.48,114.59,1.42,1.15,-0.08,62.00,11.08,"4,388.58",0.10,,0.612,67.137
17.271,1.2,,,,282.89,-0.01,1.32,1.32,0.04,267.23,682.12,"1,951.57",143.06,114.59,1.43,1.15,-0.08,60.90,11.02,"4,388.58",0.05,,0.295,67.137
17.371,1.2,,,,288.52,-0.01,0.53,0.53,0.01,267.19,681.60,"1,951.57",143.40,114.59,1.43,1.15,-0.08,59.80,10.96,"4,388.58",0.02,,0.117,67.137
17.471,1.2,,,,283.09,-0.01,1.84,1.83,0.05,267.15,681.08,"1,951.57",142.81,114.59,1.43,1.15,-0.08,58.71,10.90,"4,388.58",0.07,,0.428,67.137
17.571,1.2,,,,282.16,-0.01,2.64,2.63,0.07,267.12,680.58,"1,951.57",142.42,114.59,1.42,1.15,-0.09,57.62,10.86,"4,388.58",0.10,,0.635,67.137
17.671,1.2,,,,282.68,-0.01,2.68,2.68,0.07,267.08,680.09,"1,951.57",142.38,114.59,1.42,1.15,-0.09,56.54,10.81,"4,388.58",0.10,,0.658,67.137
17.771,1.2,,,,281.28,-0.01,2.08,2.07,0.06,267.04,679.60,"1,951.57",142.63,114.59,1.43,1.15,-0.09,55.46,10.78,"4,388.58",0.08,,0.518,67.137
17.871,1.2,,,,283.05,-0.01,2.09,2.08,0.06,267.01,679.13,"1,951.57",142.61,114.59,1.43,1.15,-0.09,54.39,10.74,"4,388.58",0.08,,0.527,67.137
17.971,1.2,,,,289.68,-0.01,0.60,0.60,0.02,266.97,678.66,"1,951.57",143.32,114.59,1.43,1.15,-0.10,53.32,10.71,"4,388.58",0.02,,0.148,67.137
18.071,1.2,,,,285.59,-0.01,0.59,0.58,0.02,266.94,678.20,"1,951.57",143.31,114.59,1.43,1.15,-0.10,52.26,10.68,"4,388.58",0.02,,0.15,67.137
18.171,1.2,,,,282.39,-0.01,1.18,1.18,0.03,266.91,677.76,"1,951.57",143.00,114.59,1.43,1.15,-0.10,51.19,10.65,"4,388.58",0.05,,0.313,67.137
18.271,1.2,,,,283.05,-0.01,1.75,1.74,0.05,266.87,677.32,"1,951.57",142.70,114.59,1.43,1.15,-0.10,50.14,10.62,"4,388.58",0.07,,0.476,67.137
18.371,1.2,,,,281.85,-0.01,2.31,2.30,0.06,266.84,676.89,"1,951.57",142.38,114.59,1.42,1.15,-0.11,49.08,10.59,"4,388.58",0.10,,0.651,67.137
18.471,1.2,,,,279.45,-0.01,2.25,2.25,0.06,266.81,676.47,"1,951.57",142.37,114.59,1.42,1.15,-0.11,48.03,10.56,"4,388.58",0.10,,0.656,67.137
18.571,1.2,,,,279.52,-0.01,1.78,1.77,0.05,266.78,676.06,"1,951.57",142.60,114.59,1.43,1.15,-0.11,46.98,10.52,"4,388.58",0.08,,0.525,67.137
18.671,1.2,,,,279.99,-0.01,1.12,1.12,0.03,266.75,675.66,"1,951.57",142.96,114.59,1.43,1.15,-0.11,45.94,10.48,"4,388.58",0.05,,0.334,67.137
18.771,1.2,,,,303.12,-0.01,0.13,0.12,0.00,266.72,675.27,"1,951.57",143.52,114.59,1.44,1.15,-0.11,44.90,10.44,"4,388.58",0.01,,0.037,67.137
18.871,1.2,,,,279.22,-0.01,1.68,1.67,0.05,266.69,674.88,"1,951.57",142.59,114.59,1.43,1.15,-0.12,43.86,10.40,"4,388.58",0.08,,0.531,67.137
18.971,1.2,,,,279.36,-0.01,2.52,2.51,0.07,266.66,674.51,"1,951.57",142.04,114.59,1.42,1.15,-0.12,42.83,10.36,"4,388.58",0.13,,0.831,67.137
19.071,1.2,,,,278.45,-0.01,2.39,2.38,0.07,266.63,674.14,"1,951.57",142.08,114.59,1.42,1.15,-0.12,41.80,10.33,"4,388.58",0.13,,0.809,67.137
19.171,1.2,,,,278.92,-0.01,2.23,2.23,0.06,266.61,673.79,"1,951.57",142.15,114.59,1.42,1.15,-0.12,40.77,10.31,"4,388.58",0.12,,0.771,67.137
19.271,1.2,,,,278.26,-0.01,2.55,2.54,0.07,266.58,673.44,"1,951.57",141.90,114.59,1.42,1.15,-0.13,39.75,10.28,"4,388.58",0.14,,0.911,67.137
19.371,1.2,,,,277.36,-0.01,2.65,2.64,0.07,266.56,673.10,"1,951.57",141.78,114.59,1.42,1.15,-0.13,38.73,10.25,"4,388.58",0.16,,0.979,67.137
19.471,1.2,,,,279.55,-0.01,1.82,1.81,0.05,266.53,672.77,"1,951.57",142.32,114.59,1.42,1.15,-0.13,37.71,10.23,"4,388.58",0.11,,0.671,67.137
,,,,,,,,,,,,,,,,,,,,,,,0.386,
,,,,,,,,,,,,,,,,,,,,,,,0.109,
,,,,,,,,,,,,,,,,,,,,,,,0.235,
,,,,,,,,,,,,,,,,,,,,,,,0.346,
,,,,,,,,,,,,,,,,,,,,,,,0.424,
,,,,,,,,,,,,,,,,,,,,,,,0.651,
,,,,,,,,,,,,,,,,,,,,,,,0.033,
,,,,,,,,,,,,,,,,,,,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,0.053,
,,,,,,,,,,,,,,,,,,,,,,,0.1,
,,,,,,,,,,,,,,,,,,,,,,,0.004,
,,,,,,,,,,,,,,,,,,,,,,,0.149,
,,,,,,,,,,,,,,,,,,,,,,,0.502,
,,,,,,,,,,,,,,,,,,,,,,,0.868,
,,,,,,,,,,,,,,,,,,,,,,,0.651,
,,,,,,,,,,,,,,,,,,,,,,,0.951,
,,,,,,,,,,,,,,,,,,,,,,,1.647,
,,,,,,,,,,,,,,,,,,,,,,,1.658,
,,,,,,,,,,,,,,,,,,,,,,,1.263,
,,,,,,,,,,,,,,,,,,,,,,,1.448,
,,,,,,,,,,,,,,,,,,,,,,,1.862,
,,,,,,,,,,,,,,,,,,,,,,,2.839,
,,,,,,,,,,,,,,,,,,,,,,,3.646,
,,,,,,,,,,,,,,,,,,,,,,,4.928,
,,,,,,,,,,,,,,,,,,,,,,,5.602,
,,,,,,,,,,,,,,,,,,,,,,,7.621,
,,,,,,,,,,,,,,,,,,,,,,,8.806,
,,,,,,,,,,,,,,,,,,,,,,,10.524,
,,,,,,,,,,,,,,,,,,,,,,,12.269,
,,,,,,,,,,,,,,,,,,,,,,,14.583,
,,,,,,,,,,,,,,,,,,,,,,,17.577,
,,,,,,,,,,,,,,,,,,,,,,,20.043,
,,,,,,,,,,,,,,,,,,,,,,,24.08,
,,,,,,,,,,,,,,,,,,,,,,,28.809,
,,,,,,,,,,,,,,,,,,,,,,,33.97,
,,,,,,,,,,,,,,,,,,,,,,,40.42,
